time,front,back
4/2/2021 1:10,7.98,20.1
4/2/2021 1:20,8.64,20.37
4/2/2021 1:30,10.06,19.99
4/2/2021 1:40,8.13,19.62
4/2/2021 1:50,8.84,20.26
4/2/2021 2:00,10.28,19.46
4/2/2021 2:10,9.63,20.21
4/2/2021 2:20,10.5,19.72
4/2/2021 2:30,7.91,19.5
4/2/2021 2:40,9.71,18.97
4/2/2021 2:50,10.43,22.31
4/2/2021 3:00,10.99,20.16
4/2/2021 3:10,10.08,20.73
4/2/2021 3:20,9.75,20.14
4/2/2021 3:30,9.37,20.34
4/2/2021 3:40,1132,18.83
4/2/2021 3:50,10.6,24.01
4/2/2021 4:00,14.31,19.7
4/2/2021 4:10,13.3,22.53
4/2/2021 4:20,14.45,20.77
4/2/2021 4:30,14.8,21.69
4/2/2021 4:40,15.09,20.87
4/2/2021 4:50,12.96,21.42
4/2/2021 5:00,11.28,18.95
4/2/2021 5:10,10.78,22.61
4/2/2021 5:20,10.42,19.93
4/2/2021 5:30,9.79,21.88
4/2/2021 5:40,11.66,18.3
4/2/2021 5:50,10.81,20.76
4/2/2021 6:00,9.79,17.66
4/2/2021 6:10,10.02,23.09
4/2/2021 6:20,11.09,17.86
4/2/2021 6:30,10.28,20.9
4/2/2021 6:40,9.24,19.5
4/2/2021 6:50,10.32,22.6
4/2/2021 7:00,10.65,19
4/2/2021 7:10,831,20.39
4/2/2021 7:20,11.46,19.23
4/2/2021 7:30,10.23,22.2
4/2/2021 7:40,11.27,18.86
4/2/2021 7:50,9.57,21.16
4/2/2021 8:00,10.6,17.89
4/2/2021 8:10,9.22,20.55
4/2/2021 8:20,8.91,20.47
4/2/2021 8:30,10.15,20
4/2/2021 8:40,11.32,20.07
4/2/2021 8:50,12.41,20.82
4/2/2021 9:00,12.41,20.98
4/2/2021 9:10,10.36,20.91
4/2/2021 9:20,9.27,20.07
4/2/2021 9:30,11.77,19.82
4/2/2021 9:40,11.93,21.81
4/2/2021 9:50,13.6,20.71
4/2/2021 10:00,14.26,21.94
4/2/2021 10:10,14.81,21.75
4/2/2021 10:20,11.97,18.97
4/2/2021 10:30,10.99,23.11
4/2/2021 10:40,10.61,18.92
4/2/2021 10:50,9.77,20.28
4/2/2021 11:00,11.5,21.18
4/2/2021 11:10,10.52,19.29
4/2/2021 11:20,12.58,19.9
4/2/2021 11:30,12.33,19.87
4/2/2021 11:40,9.77,19.43
4/2/2021 11:50,10.71,21.32
4/2/2021 12:00,10.01,17.85
4/2/2021 12:10,9.48,2135
4/2/2021 12:20,9.39,19.04
4/2/2021 12:30,9.05,19.04
4/2/2021 12:40,9.06,21.39
4/2/2021 12:50,9.87,17.66
4/2/2021 13:00,7.84,21.61
4/2/2021 13:10,7.78,18.05
4/2/2021 13:20,6.44,19.07
4/2/2021 13:30,7.67,19.92
4/2/2021 13:40,8.48,18.3
4/2/2021 13:50,9.23,21.19
4/2/2021 14:00,10.18,18.52
4/2/2021 14:10,8.6,21.79
4/2/2021 14:20,9.66,18.4
4/2/2021 14:30,8.66,19.17
4/2/2021 14:40,7.55,18.86
4/2/2021 14:50,9.21,19.42
4/2/2021 15:00,9.45,19.54
4/2/2021 15:10,10.61,19.79
4/2/2021 15:20,10.78,18.6
4/2/2021 15:30,10.68,22.5
4/2/2021 15:40,14.05,19.1
4/2/2021 15:50,14.1,23.82
4/2/2021 16:00,16.11,21.25
4/2/2021 16:10,13.58,20.46
4/2/2021 16:20,12.06,22.55
4/2/2021 16:30,13.76,20.78
4/2/2021 16:40,13.55,20.94
