index,front,back
1,7.98,20.1
2,8.64,20.37
3,10.06,19.99
4,8.13,19.62
5,8.84,20.26
6,10.28,19.46
7,9.63,20.21
8,10.5,19.72
9,7.91,19.5
10,9.71,18.97
11,10.43,22.31
12,10.99,20.16
13,10.08,20.73
14,9.75,20.14
15,9.37,20.34
16,11.52,18.83
17,10.6,24.01
18,14.31,19.7
19,13.3,22.53
20,14.45,20.77
21,14.8,21.69
22,15.09,20.87
23,12.96,21.42
24,11.28,18.95
25,10.78,22.61
26,10.42,19.93
27,9.79,21.88
28,11.66,18.3
29,10.81,20.76
30,9.79,17.66
31,10.02,23.09
32,11.09,17.86
33,10.28,20.9
34,9.24,19.5
35,10.32,22.6
36,10.65,19
37,8.31,20.39
38,11.46,19.23
39,10.23,22.2
40,11.27,18.86
41,9.57,21.16
42,10.6,17.89
43,9.22,20.55
44,8.91,20.47
45,10.15,20
46,11.32,20.07
47,12.41,20.82
48,12.41,20.98
49,10.36,20.91
50,9.27,20.07
51,11.77,19.82
52,11.93,21.81
53,13.6,20.71
54,14.26,21.94
55,14.81,21.75
56,11.97,18.97
57,10.99,23.11
58,10.61,18.92
59,9.77,20.28
60,11.5,21.18
61,10.52,19.29
62,12.58,19.9
63,12.33,19.87
64,9.77,19.43
65,10.71,21.32
66,10.01,17.85
67,9.48,21.55
68,9.39,19.04
69,9.05,19.04
70,9.06,21.39
71,9.87,17.66
72,7.84,21.61
73,7.78,18.05
74,6.44,19.07
75,7.67,19.92
76,8.48,18.3
77,9.23,21.19
78,10.18,18.52
79,8.6,21.79
80,9.66,18.4
81,8.66,19.17
82,7.55,18.86
83,9.21,19.42
84,9.45,19.54
85,10.61,19.79
86,10.78,18.6
87,10.68,22.5
88,14.05,19.1
89,14.1,23.82
90,16.11,21.25
91,13.58,20.46
92,12.06,22.55
93,13.76,20.78
94,13.55,20.94
95,13.69,21.66
96,15.07,21.61
97,15.14,21.69
98,14.01,21.85
99,12.69,20.87
100,11.6,20.93
101,12.15,20.57
102,12.99,21.17
103,11.89,19.53
104,10.85,21.14
105,11.81,20.09
106,9.46,18.48
107,9.25,20.33
108,9.26,19.82
109,8.55,20.07
110,8.86,19.81
111,10.32,20.64
112,11.39,20.04
113,11.78,21.52
114,13.13,20.35
115,12.73,19.88
116,13.86,22.36
117,12.38,19.04
118,12.51,23.32
119,14.32,20.42
120,13.47,20.88
121,12.96,20.25
122,11.65,20.69
123,11.99,19.7
124,9.6,18.51
125,7.38,18.48
126,6.98,20.37
127,8.18,18.21
128,7.5,20.85
129,7.04,18.9
130,9.06,19.84
131,8.61,19.15
132,8.93,20.77
133,9.81,18.95
134,9.57,20.33
135,10.31,21.69
136,11.88,18.66
137,12.36,22.35
138,12.18,19.34
139,12.94,22.76
140,14.25,19.6
141,12.86,23.74
142,12.14,18.06
143,10.06,20.11
144,10.17,19.56
145,7.56,19.27
146,7.77,18.59
147,9.03,21.85
148,10.8,19.21
149,9.41,19.42
150,7.81,19.79
151,7.99,18.81
152,5.78,18.46
153,5.45,19.46
154,6.5,18.33
155,5.23,19.22
156,4.97,17.7
157,4.3,18.42
158,4.47,17.85
159,5.48,19.16
160,5.7,17.91
161,3.78,19.36
162,5.86,18.18
163,6.56,20.82
164,6.82,18.47
165,5.18,19.09
166,6.3,18.91
167,9.12,20.93
168,9.3,18.73
169,10.37,22.17
170,11.87,19.03
171,12.36,22.15
172,14.61,20.67
173,13.63,22.39
174,13.12,19.75
175,10.07,18.94
176,10.14,21.47
177,11.02,19.79
178,11.37,21.94
179,10.98,18.73
180,10.04,21.41
181,11.3,19.2
182,10.59,23
183,11.69,17.47
184,10.73,21.59
185,13.64,21.62
186,12.92,20.23
