date,TWh,bitcoin,ethereum,cardano,doge,bcash,stellar,chainlink,biance,little,monero,bat,tether,tesla,tsmc,nvidia,intel,amd,qualcom
6/22/2015,2.15011,246.990005,0,0,0.000219,0,0.003682,0,0,3.02846,0.540599,0,1,51.958,23.84,21.780001,32.259998,2.62,67.360001
6/23/2015,2.19789,244.296005,0,0,0.000187,0,0.003508,0,0,2.97453,0.526921,0,1,53.534,23.93,21.219999,32.09,2.61,66.980003
6/24/2015,2.19355,240.514999,0,0,0.000178,0,0.003436,0,0,2.77863,0.506506,0,1,53.034,23.9,21.01,31.91,2.62,65.349998
6/25/2015,2.18486,242.798996,0,0,0.000186,0,0.003477,0,0,2.85033,0.503678,0,1,53.757999,24.08,21.17,31.99,2.58,65.260002
6/26/2015,2.20007,243.593994,0,0,0.000201,0,0.003407,0,0,2.86024,0.484247,0,1,53.417999,23.629999,20.74,31.02,2.47,64.669998
6/29/2015,2.19481,257.063995,0,0,0.000214,0,0.003503,0,0,3.7365,0.493447,0,1,52.403999,22.379999,20.120001,30.389999,2.34,62.619999
6/30/2015,2.20383,263.071991,0,0,0.000199,0,0.00347,0,0,4.08676,0.500266,0,1,53.652,22.709999,20.110001,30.42,2.4,62.630001
7/1/2015,2.15651,258.621002,0,0,0.000193,0,0.003458,0,0,3.92427,0.498848,0,1,53.830002,22.93,20.4,30.18,2.42,62.900002
7/2/2015,2.1589,255.412003,0,0,0.000191,0,0.003401,0,0,4.06537,0.492605,0,1,56.004002,23.15,20.42,30.559999,2.53,63.110001
7/6/2015,2.31028,269.029999,0,0,0.000192,0,0.003228,0,0,5.41723,0.505507,0,1,55.944,22.940001,20.17,30.040001,2.47,63.110001
7/7/2015,2.28653,266.207001,0,0,0.000189,0,0.003141,0,0,5.23463,0.512376,0,1,53.576,22.959999,19.790001,29.9,2.09,62.799999
7/8/2015,2.34267,270.785004,0,0,0.000189,0,0.003214,0,0,6.36112,0.51399,0,1,50.992001,22.23,19.65,29.5,2.01,61.91
7/9/2015,2.29733,269.227997,0,0,0.000195,0,0.003059,0,0,7.53694,0.497226,0,1,51.584,22.219999,19.41,28.93,1.98,61.860001
7/10/2015,2.28221,284.894012,0,0,0.000203,0,0.003115,0,0,4.50522,0.520876,0,1,51.830002,22.57,19.75,29.17,1.96,62.73
7/13/2015,2.2099,292.053986,0,0,0.0002,0,0.003219,0,0,4.6799,0.572132,0,1,52.431999,22.860001,19.879999,29.73,1.96,63.43
7/14/2015,2.24202,287.463989,0,0,0.000194,0,0.003077,0,0,4.64989,0.570033,0,1,53.130001,22.799999,19.889999,29.65,2.05,63.939999
7/15/2015,2.23595,285.82901,0,0,0.000186,0,0.003003,0,0,4.21409,0.541855,0,1,52.627998,22.559999,19.75,29.690001,1.96,63.880001
7/16/2015,2.24791,278.088989,0,0,0.000171,0,0.002831,0,0,3.68978,0.536325,0,1,53.335999,22.73,20.190001,29.9,1.87,64.550003
7/17/2015,2.24356,279.471985,0,0,0.00018,0,0.002853,0,0,3.78681,0.535182,0,1,54.931999,23.030001,20.07,29.469999,1.79,64.339996
7/20/2015,2.31045,278.980988,0,0,0.000174,0,0.002986,0,0,3.93859,0.547709,0,1,56.452,22.9,19.700001,29.1,1.8,63.790001
7/21/2015,2.2725,275.833008,0,0,0.00017,0,0.003067,0,0,3.76621,0.587578,0,1,53.354,22.879999,19.790001,28.719999,1.8,65.139999
7/22/2015,2.27473,277.221985,0,0,0.000184,0,0.003118,0,0,3.82366,0.57342,0,1,53.574001,22.219999,19.41,28.610001,1.79,64.190002
7/23/2015,2.28813,276.049011,0,0,0.000178,0,0.003037,0,0,3.78444,0.570335,0,1,53.439999,22.309999,19.65,28.6,1.76,61.779999
7/24/2015,2.33724,288.278015,0,0,0.000188,0,0.003094,0,0,4.60183,0.576016,0,1,53.082001,21.639999,19.42,28.059999,1.67,61.639999
7/27/2015,2.33414,293.623993,0,0,0.000189,0,0.002945,0,0,4.67137,0.59605,0,1,50.602001,21.629999,19.309999,28.35,1.62,61.98
7/28/2015,2.36138,294.427002,0,0,0.000188,0,0.002727,0,0,5.0584,0.615015,0,1,52.964001,21.879999,19.73,28.959999,1.77,63.099998
7/29/2015,2.3649,289.589996,0,0,0.000184,0,0.002823,0,0,4.79768,0.589967,0,1,52.764,22.110001,19.969999,29.01,1.96,63.169998
7/30/2015,2.35854,287.721985,0,0,0.000183,0,0.002811,0,0,4.57803,0.583228,0,1,53.358002,22.700001,20.02,28.91,1.93,64.410004
7/31/2015,2.32629,284.649994,0,0,0.000184,0,0.002644,0,0,4.64104,0.574956,0,1,53.23,22.110001,19.950001,28.950001,1.93,64.389999
8/3/2015,2.36711,281.22699,0,0,0.000173,0,0.002631,0,0,4.16219,0.595818,0,1,51.998001,21.719999,20.290001,29.049999,2.2,64.43
8/4/2015,2.36711,285.217987,0,0,0.000176,0,0.002632,0,0,4.37793,0.618406,0,1,53.256001,21.450001,20.370001,29.129999,2.13,63.450001
8/5/2015,2.32369,281.881989,0,0,0.000173,0,0.002634,0,0,4.34922,0.618616,0,1,54.026001,21.610001,20.58,29.120001,2.16,63.880001
8/6/2015,2.34426,278.576996,0,0,0.000168,0,0.002524,0,0,4.06467,0.729102,0,1,49.226002,21.280001,20.450001,29.01,2.11,62.84
8/7/2015,2.31227,279.584991,2.77212,0,0.000168,0,0.002432,0,0,4.20828,0.742292,0,1,48.501999,21.030001,22.98,28.879999,2.09,63.02
8/10/2015,2.33573,264.470001,0.708448,0,0.00016,0,0.002466,0,0,3.94888,0.656576,0,1,48.228001,21.610001,23.780001,29.639999,1.93,63.150002
8/11/2015,2.39812,270.385986,1.06786,0,0.000164,0,0.002398,0,0,4.15955,0.603582,0,1,47.473999,20.83,23.66,28.969999,1.9,62.549999
8/12/2015,2.38444,266.376007,1.21744,0,0.00016,0,0.00238,0,0,3.98545,0.622923,0,1,47.633999,20.75,23.719999,29.459999,1.9,62.580002
8/13/2015,2.39629,264.079987,1.82767,0,0.000156,0,0.002264,0,0,3.88034,0.575855,0,1,48.501999,20.540001,23.52,28.870001,1.79,62.029999
8/14/2015,2.41033,265.679993,1.82787,0,0.000158,0,0.002314,0,0,4.02623,0.609906,0,1,48.630001,20.379999,23.540001,29.02,1.84,61.91
8/17/2015,2.30097,257.976013,1.20361,0,0.00015,0,0.00217,0,0,3.98396,0.610122,0,1,50.998001,20.280001,23.389999,29.08,1.8,62.07
8/18/2015,2.2526,211.078995,1.08705,0,0.000134,0,0.001878,0,0,3.46971,0.493284,0,1,52.144001,20.030001,23.08,28.91,1.8,61.32
8/19/2015,2.3217,226.684006,1.25886,0,0.000131,0,0.00181,0,0,3.47782,0.534101,0,1,51.049999,19.91,22.99,28.360001,1.8,61.18
8/20/2015,2.32861,235.350006,1.46492,0,0.000139,0,0.00203,0,0,3.60509,0.597797,0,1,48.436001,19.610001,22.16,27.530001,1.7,60.150002
