date,bitcoin,doge,stellar,little,monero,tether,tesla,tsmc,nvidia,intel,amd,qualcom
6/22/2015,246.990005,0.000219,0.003682,3.02846,0.540599,1,51.958,23.84,21.780001,32.259998,2.62,67.360001
6/23/2015,244.296005,0.000187,0.003508,2.97453,0.526921,1,53.534,23.93,21.219999,32.09,2.61,66.980003
6/24/2015,240.514999,0.000178,0.003436,2.77863,0.506506,1,53.034,23.9,21.01,31.91,2.62,65.349998
6/25/2015,242.798996,0.000186,0.003477,2.85033,0.503678,1,53.757999,24.08,21.17,31.99,2.58,65.260002
6/26/2015,243.593994,0.000201,0.003407,2.86024,0.484247,1,53.417999,23.629999,20.74,31.02,2.47,64.669998
6/29/2015,257.063995,0.000214,0.003503,3.7365,0.493447,1,52.403999,22.379999,20.120001,30.389999,2.34,62.619999
6/30/2015,263.071991,0.000199,0.00347,4.08676,0.500266,1,53.652,22.709999,20.110001,30.42,2.4,62.630001
7/1/2015,258.621002,0.000193,0.003458,3.92427,0.498848,1,53.830002,22.93,20.4,30.18,2.42,62.900002
7/2/2015,255.412003,0.000191,0.003401,4.06537,0.492605,1,56.004002,23.15,20.42,30.559999,2.53,63.110001
7/6/2015,269.029999,0.000192,0.003228,5.41723,0.505507,1,55.944,22.940001,20.17,30.040001,2.47,63.110001
7/7/2015,266.207001,0.000189,0.003141,5.23463,0.512376,1,53.576,22.959999,19.790001,29.9,2.09,62.799999
7/8/2015,270.785004,0.000189,0.003214,6.36112,0.51399,1,50.992001,22.23,19.65,29.5,2.01,61.91
7/9/2015,269.227997,0.000195,0.003059,7.53694,0.497226,1,51.584,22.219999,19.41,28.93,1.98,61.860001
7/10/2015,284.894012,0.000203,0.003115,4.50522,0.520876,1,51.830002,22.57,19.75,29.17,1.96,62.73
7/13/2015,292.053986,0.0002,0.003219,4.6799,0.572132,1,52.431999,22.860001,19.879999,29.73,1.96,63.43
7/14/2015,287.463989,0.000194,0.003077,4.64989,0.570033,1,53.130001,22.799999,19.889999,29.65,2.05,63.939999
7/15/2015,285.82901,0.000186,0.003003,4.21409,0.541855,1,52.627998,22.559999,19.75,29.690001,1.96,63.880001
7/16/2015,278.088989,0.000171,0.002831,3.68978,0.536325,1,53.335999,22.73,20.190001,29.9,1.87,64.550003
7/17/2015,279.471985,0.00018,0.002853,3.78681,0.535182,1,54.931999,23.030001,20.07,29.469999,1.79,64.339996
7/20/2015,278.980988,0.000174,0.002986,3.93859,0.547709,1,56.452,22.9,19.700001,29.1,1.8,63.790001
