date,bitcoin,ethereum,cardano,doge,bcash,stellar,chainlink,biance,little,monero,bat,tether,tesla,tsmc,nvidia,intel,amd,qualcom
6/22/2020,9648.717773,242.533188,0.08361,0.002474,239.789688,0.071872,4.467934,16.475288,44.188004,65.929176,0.243866,0.997925,198.863998,56,381.070007,60.09,54.759998,89.129997
6/23/2020,9629.658203,244.142151,0.08295,0.002484,240.808456,0.071219,4.806252,16.422567,44.179279,66.94751,0.258374,1.003038,200.356003,56.759998,378,59.919998,53.990002,89.349998
6/24/2020,9313.610352,235.772461,0.082583,0.00243,233.155792,0.069173,4.719017,16.026758,42.843826,64.86731,0.249646,1.000303,192.169998,56.580002,369.420013,59.09,52.389999,89.139999
6/25/2020,9264.813477,232.944489,0.081691,0.002417,232.41362,0.067831,4.814206,15.922709,42.56353,64.381592,0.270003,1.000102,197.195999,57.040001,379.600006,58.509998,51.93,88.959999
6/26/2020,9162.917969,229.668045,0.080561,0.002359,230.107697,0.067097,4.680805,15.749224,43.320786,63.981968,0.271722,0.998956,191.947998,56.330002,366.200012,57.5,50.099998,88.019997
6/29/2020,9190.854492,228.19487,0.08387,0.002313,225.197021,0.065264,4.61793,15.505232,41.851032,64.18531,0.261968,1.001984,201.869995,56.389999,368,58.27,50.279999,89.010002
6/30/2020,9137.993164,226.315002,0.083116,0.00232,221.991684,0.067068,4.569189,15.413582,41.467793,63.536777,0.25195,0.999904,215.962006,56.77,379.910004,59.830002,52.610001,91.209999
7/1/2020,9228.325195,231.113419,0.095954,0.002354,223.686432,0.068488,4.698256,15.82946,41.699245,64.605927,0.256183,1.001561,223.925995,56.82,381.200012,58.810001,52.580002,89.779999
7/2/2020,9123.410156,229.392197,0.094326,0.002361,222.303772,0.068406,4.846618,15.53849,41.485733,65.893074,0.24534,1.015718,241.731995,58.619999,384.48999,59.130001,52.34,91.870003
7/6/2020,9375.474609,241.510223,0.105221,0.002616,241.632095,0.071863,5.365053,16.29677,43.963493,64.876259,0.260741,1.000236,274.31601,61.880001,393.570007,59.540001,53.400002,92.919998
7/7/2020,9252.277344,239.075531,0.117554,0.00309,237.146729,0.073268,5.712817,16.770226,43.318249,64.53112,0.254629,0.999207,277.971985,60.709999,394.869995,58.310001,52.93,92.139999
7/8/2020,9428.333008,246.670013,0.129908,0.00475,243.230209,0.085003,6.475725,17.227657,45.200745,66.248627,0.263883,0.99986,273.175995,62.59,408.640015,58.610001,53.43,93.529999
7/9/2020,9277.967773,243.015961,0.124293,0.004397,238.85585,0.090588,6.104311,16.884869,44.537457,67.631966,0.262018,1.003075,278.855988,64.779999,420.359985,58.419998,57.259998,93.25
7/10/2020,9278.807617,240.984985,0.118316,0.003515,237.920242,0.088913,6.138475,17.261251,44.246117,67.314415,0.254405,0.999986,308.929993,63.849998,419.170013,59.529999,55.880001,92.510002
