Date,tesla,tsmc,nvidia,intel,amd,qualcom
22/6/2015,51.958,23.84,21.780001,32.259998,2.62,67.360001
23/6/2015,53.534,23.93,21.219999,32.09,2.61,66.980003
24/6/2015,53.034,23.9,21.01,31.91,2.62,65.349998
25/6/2015,53.757999,24.08,21.17,31.99,2.58,65.260002
26/6/2015,53.417999,23.629999,20.74,31.02,2.47,64.669998
29/6/2015,52.403999,22.379999,20.120001,30.389999,2.34,62.619999
30/6/2015,53.652,22.709999,20.110001,30.42,2.4,62.630001
1/7/2015,53.830002,22.93,20.4,30.18,2.42,62.900002
2/7/2015,56.004002,23.15,20.42,30.559999,2.53,63.110001
6/7/2015,55.944,22.940001,20.17,30.040001,2.47,63.110001
7/7/2015,53.576,22.959999,19.790001,29.9,2.09,62.799999
8/7/2015,50.992001,22.23,19.65,29.5,2.01,61.91
9/7/2015,51.584,22.219999,19.41,28.93,1.98,61.860001
10/7/2015,51.830002,22.57,19.75,29.17,1.96,62.73
13/7/2015,52.431999,22.860001,19.879999,29.73,1.96,63.43
14/7/2015,53.130001,22.799999,19.889999,29.65,2.05,63.939999
15/7/2015,52.627998,22.559999,19.75,29.690001,1.96,63.880001
16/7/2015,53.335999,22.73,20.190001,29.9,1.87,64.550003
17/7/2015,54.931999,23.030001,20.07,29.469999,1.79,64.339996
20/7/2015,56.452,22.9,19.700001,29.1,1.8,63.790001
21/7/2015,53.354,22.879999,19.790001,28.719999,1.8,65.139999
22/7/2015,53.574001,22.219999,19.41,28.610001,1.79,64.190002
23/7/2015,53.439999,22.309999,19.65,28.6,1.76,61.779999
24/7/2015,53.082001,21.639999,19.42,28.059999,1.67,61.639999
27/7/2015,50.602001,21.629999,19.309999,28.35,1.62,61.98
28/7/2015,52.964001,21.879999,19.73,28.959999,1.77,63.099998
29/7/2015,52.764,22.110001,19.969999,29.01,1.96,63.169998
30/7/2015,53.358002,22.700001,20.02,28.91,1.93,64.410004
31/7/2015,53.23,22.110001,19.950001,28.950001,1.93,64.389999
3/8/2015,51.998001,21.719999,20.290001,29.049999,2.2,64.43
4/8/2015,53.256001,21.450001,20.370001,29.129999,2.13,63.450001
5/8/2015,54.026001,21.610001,20.58,29.120001,2.16,63.880001
6/8/2015,49.226002,21.280001,20.450001,29.01,2.11,62.84
7/8/2015,48.501999,21.030001,22.98,28.879999,2.09,63.02
10/8/2015,48.228001,21.610001,23.780001,29.639999,1.93,63.150002
11/8/2015,47.473999,20.83,23.66,28.969999,1.9,62.549999
12/8/2015,47.633999,20.75,23.719999,29.459999,1.9,62.580002
13/8/2015,48.501999,20.540001,23.52,28.870001,1.79,62.029999
14/8/2015,48.630001,20.379999,23.540001,29.02,1.84,61.91
17/8/2015,50.998001,20.280001,23.389999,29.08,1.8,62.07
18/8/2015,52.144001,20.030001,23.08,28.91,1.8,61.32
19/8/2015,51.049999,19.91,22.99,28.360001,1.8,61.18
20/8/2015,48.436001,19.610001,22.16,27.530001,1.7,60.150002
21/8/2015,46.153999,18.879999,21.469999,26.559999,1.78,57.610001
24/8/2015,43.773998,18.76,20.709999,26.25,1.75,55.279999
25/8/2015,44.006001,18.76,20.280001,25.870001,1.66,53.880001
26/8/2015,44.967999,19.450001,21.809999,27.299999,1.72,56.66
27/8/2015,48.598,19.940001,22.629999,27.719999,1.78,57.360001
28/8/2015,49.695999,20,22.73,28.42,1.85,57.450001
31/8/2015,49.812,19.879999,22.48,28.540001,1.81,56.580002
1/9/2015,47.726002,19.41,21.559999,27.82,1.71,55.02
2/9/2015,49.537998,19.940001,22.209999,28.6,1.77,55.860001
3/9/2015,49.113998,20.07,22.27,29.08,1.79,55.549999
4/9/2015,48.386002,19.67,21.75,28.52,1.82,54.290001
8/9/2015,49.633999,20.049999,22.68,29.5,1.88,55.200001
9/9/2015,49.782001,19.879999,22.23,29.24,1.85,54.32
10/9/2015,49.695999,19.700001,22.58,29.27,1.84,55.330002
11/9/2015,50.048,19.9,22.65,29.469999,2.01,54.66
14/9/2015,50.638,20.040001,22.690001,29.389999,1.82,54.310001
15/9/2015,50.714001,20.389999,22.940001,29.73,1.86,54.869999
16/9/2015,52.450001,20.67,23.1,29.77,1.89,55.200001
17/9/2015,52.414001,20.66,23.309999,29.709999,1.89,54.98
18/9/2015,52.124001,20.610001,23.290001,29.02,1.87,54.450001
21/9/2015,52.84,20.530001,23.530001,29.16,1.81,54.389999
22/9/2015,52.188,19.950001,22.889999,28.67,1.73,53.939999
23/9/2015,52.212002,20.01,23,28.74,1.7,53.560001
24/9/2015,52.624001,19.99,23.440001,28.48,1.72,53.27
25/9/2015,51.382,20.049999,23.610001,28.809999,1.71,53.220001
28/9/2015,49.686001,19.629999,23.299999,28.76,1.66,52.540001
29/9/2015,49.330002,19.889999,23.709999,29.24,1.67,52.43
30/9/2015,49.68,20.75,24.65,30.139999,1.72,53.73
1/10/2015,47.976002,20.860001,24.17,30,1.74,53.18
2/10/2015,49.514,20.76,24.799999,30.51,1.83,55.07
5/10/2015,49.23,21.4,25.42,31.209999,1.8,56.23
6/10/2015,48.292,21.23,25.75,31.74,1.83,56.32
7/10/2015,46.391998,21.93,26.02,32.32,1.86,56.610001
8/10/2015,45.344002,22.25,26.17,32.52,1.93,57.66
9/10/2015,44.138,21.950001,26.07,32.139999,1.96,57.779999
12/10/2015,43.116001,22.09,26.35,32.209999,1.87,57.790001
13/10/2015,43.849998,21.940001,26.4,32.040001,1.92,57.509998
14/10/2015,43.375999,22.34,27.360001,32.799999,1.95,58.630001
15/10/2015,44.262001,21.950001,27.43,32.75,1.97,59.259998
16/10/2015,45.402,22.16,27.860001,33.040001,1.94,59.91
19/10/2015,45.619999,22.23,27.809999,33.59,2.01,59.099998
20/10/2015,42.605999,22.309999,27.77,33.439999,2.02,59
21/10/2015,42.018002,22.219999,27.41,33.369999,2.1,58.970001
22/10/2015,42.344002,22.51,28.4,34.400002,2.14,60.43
23/10/2015,41.818001,22.469999,28.59,34.900002,2.21,60.73
26/10/2015,43.051998,22.16,28.459999,34.59,2.15,59.209999
27/10/2015,42.07,22.200001,28.440001,34.470001,2.15,59.279999
28/10/2015,42.591999,22.08,28.67,34.709999,2.18,60.27
29/10/2015,42.326,21.82,27.68,34.029999,2.13,60
30/10/2015,41.386002,21.959999,28.370001,33.860001,2.12,59.419998
2/11/2015,42.757999,22.1,28.700001,34.110001,2.19,60.639999
3/11/2015,41.669998,22.77,28.5,34.310001,2.28,60.869999
4/11/2015,46.326,23.549999,28.030001,34.150002,2.2,60.259998
5/11/2015,46.354,22.98,27.709999,34,2.2,51.07
6/11/2015,46.472,22.82,31.549999,33.84,2.15,53.419998
9/11/2015,45.066002,22.959999,31.41,33.349998,2.11,52.939999
10/11/2015,43.299999,22.51,30.809999,33.209999,2.02,52.27
11/11/2015,43.816002,22.58,30.51,32.860001,2.07,52.849998
12/11/2015,42.588001,22.24,30.4,32.400002,2,52.580002
13/11/2015,41.438,21.889999,29.799999,32.110001,1.99,51.939999
16/11/2015,42.862,22.35,30.4,32.099998,1.99,52.77
17/11/2015,42.799999,22.52,30.4,32.639999,1.98,52.98
18/11/2015,44.214001,22.52,31.030001,33.16,2.12,48
19/11/2015,44.360001,22.67,31.120001,34.299999,2.14,48.389999
20/11/2015,44.001999,22.83,31.389999,34.66,2.22,49.619999
23/11/2015,43.549999,22.57,30.92,34.48,2.22,48.970001
24/11/2015,43.650002,22.5,31.17,34.360001,2.34,49.41
25/11/2015,45.928001,22.559999,31.129999,34.450001,2.38,49.099998
27/11/2015,46.321999,22.450001,31.389999,34.459999,2.33,48.540001
30/11/2015,46.051998,22.76,31.719999,34.77,2.36,48.790001
1/12/2015,47.438,23.280001,32.75,35.09,2.34,49.299999
2/12/2015,46.397999,23.190001,32.5,34.830002,2.27,51.849998
3/12/2015,46.542,22.93,32.43,34.040001,2.23,51.400002
4/12/2015,46.076,23.309999,33.75,34.939999,2.28,52.34
7/12/2015,46.226002,23.24,33.110001,34.990002,2.36,52.43
8/12/2015,45.344002,23.08,33.560001,34.75,2.39,49.48
9/12/2015,44.903999,22.73,32.709999,34.810001,2.35,48.59
10/12/2015,45.414001,22.65,32.98,34.77,2.45,48.57
11/12/2015,43.403999,22.18,32.490002,34.27,2.36,47.459999
14/12/2015,43.716,22.219999,32.57,34.470001,2.34,46.830002
15/12/2015,44.217999,22.82,32.970001,35.18,2.36,48.02
16/12/2015,46.902,23.16,33.169998,35.299999,2.54,48.07
17/12/2015,46.678001,22.959999,32.669998,34.91,2.56,47.540001
18/12/2015,46.091999,22.93,32.139999,33.869999,2.45,47.43
21/12/2015,46.512001,22.950001,32.900002,34.240002,2.53,48.759998
22/12/2015,45.990002,23.059999,32.93,34.73,2.77,49.07
23/12/2015,45.939999,23.08,33.060001,35,2.83,49.040001
24/12/2015,46.113998,23.15,33.169998,34.98,2.92,49.549999
28/12/2015,45.790001,23.01,33.139999,34.93,3,49.580002
29/12/2015,47.438,23.08,33.68,35.439999,3,50.880001
30/12/2015,47.618,22.879999,33.389999,34.990002,2.98,50.41
31/12/2015,48.001999,22.75,32.959999,34.450001,2.87,49.990002
4/1/2016,44.681999,22.09,32.369999,33.990002,2.77,50.119999
5/1/2016,44.686001,21.950001,32.889999,33.830002,2.75,49.139999
6/1/2016,43.807999,21.34,31.530001,33.080002,2.51,48.639999
7/1/2016,43.130001,21.1,30.280001,31.84,2.28,46.139999
8/1/2016,42.200001,20.809999,29.629999,31.51,2.14,45.880001
11/1/2016,41.57,20.93,29.68,32.060001,2.34,46.07
12/1/2016,41.993999,20.75,30.18,32.68,2.39,46.52
13/1/2016,40.062,20.48,29.26,31.91,2.25,46.099998
14/1/2016,41.236,21.82,28.67,32.740002,2.21,47.73
15/1/2016,40.998001,21.1,27.110001,29.76,2.03,45.82
19/1/2016,40.944,21.66,27.33,29.799999,1.95,46.09
20/1/2016,39.740002,21.09,27.48,29.59,1.8,45.93
21/1/2016,39.993999,21.33,27.799999,29.66,2.09,47.049999
22/1/2016,40.509998,21.93,28.450001,29.93,2.02,48.07
25/1/2016,39.276001,21.790001,28.42,29.6,2.12,47.580002
26/1/2016,38.712002,21.59,28.700001,29.940001,2.07,48.52
27/1/2016,37.613998,21.68,28.360001,29.809999,2.13,47.529999
28/1/2016,37.939999,21.629999,28.049999,29.969999,2.08,43.59
29/1/2016,38.240002,22.35,29.290001,31.02,2.2,45.34
1/2/2016,39.388,22.459999,29.299999,30.82,2.14,46.110001
2/2/2016,36.556,22.559999,28.059999,29.799999,1.99,43.150002
3/2/2016,34.695999,22.92,28.200001,29.34,2.07,44.73
4/2/2016,35.066002,23.23,28.209999,29.77,2.09,45.66
5/2/2016,32.52,22.75,26.43,29.040001,1.98,44.02
8/2/2016,29.598,22.799999,25.219999,28.82,1.93,43.889999
9/2/2016,29.65,22.559999,25.49,28.809999,1.9,43.610001
10/2/2016,28.733999,22.299999,25.43,28.23,1.84,42.959999
11/2/2016,30.094,22,25.299999,28.219999,1.86,43
12/2/2016,30.208,22.24,25.73,28.639999,1.83,44.560001
16/2/2016,31.034,23.34,26.99,28.780001,1.83,46.73
17/2/2016,33.736,23.639999,27.66,29.469999,1.9,48.41
18/2/2016,33.354,23.799999,30.040001,29.42,1.91,49.080002
19/2/2016,33.316002,23.780001,30.440001,28.709999,1.91,49.419998
22/2/2016,35.548,23.959999,31.52,29.35,2.01,51.279999
23/2/2016,35.442001,23.4,31.6,28.799999,1.97,50.419998
24/2/2016,35.799999,23.42,31.82,29.190001,2.02,51.52
25/2/2016,37.486,23.690001,31.889999,29.620001,2.03,51.639999
26/2/2016,38.068001,23.77,31.68,29.799999,2.07,51.619999
29/2/2016,38.386002,23.549999,31.360001,29.59,2.14,50.790001
1/3/2016,37.27,24.58,32.75,30.370001,2.18,52.110001
2/3/2016,37.667999,24.620001,32.939999,30.540001,2.32,52.849998
3/3/2016,39.147999,24.559999,32.650002,30.58,2.46,52.380001
4/3/2016,40.208,24.65,32.549999,30.629999,2.37,52.66
7/3/2016,41.057999,24.700001,32.34,30.940001,2.47,53.299999
8/3/2016,40.52,24.65,31.75,30.559999,2.3,52.459999
9/3/2016,41.743999,24.74,31.73,30.870001,2.26,51.950001
10/3/2016,41.035999,24.74,31.68,31.25,2.26,52.02
11/3/2016,41.5,25.35,32.220001,31.76,2.52,52.220001
14/3/2016,43.029999,25.219999,32.299999,31.43,2.72,52.09
15/3/2016,43.667999,24.879999,32.139999,31.65,2.49,51.630001
16/3/2016,44.386002,25.780001,33.099998,31.690001,2.63,51.299999
17/3/2016,45.276001,25.77,32.82,31.98,2.8,51.380001
18/3/2016,46.548,26.040001,33.810001,32.68,2.93,51.59
21/3/2016,47.664001,25.93,33.91,32.34,2.8,52.209999
22/3/2016,46.848,25.809999,33.849998,32.32,2.79,52.02
23/3/2016,44.515999,25.68,34.43,32,2.68,50.990002
24/3/2016,45.549999,25.73,34.48,31.879999,2.79,50.860001
28/3/2016,46.051998,25.629999,34.830002,31.9,2.78,50.189999
29/3/2016,46.026001,25.969999,35.389999,32.380001,2.86,50.689999
30/3/2016,45.377998,26.459999,35.759998,32.709999,2.86,50.990002
31/3/2016,45.953999,26.200001,35.630001,32.349998,2.85,51.139999
1/4/2016,47.518002,26.120001,36.150002,32.450001,2.83,50.880001
4/4/2016,49.397999,25.85,35.799999,32,2.83,50.650002
5/4/2016,51.094002,25.51,35.75,31.9,2.76,50.07
6/4/2016,53.084,25.620001,35.799999,32.080002,2.8,50.619999
7/4/2016,51.439999,25.370001,35.43,31.549999,2.64,50.029999
8/4/2016,50.014,25.280001,35.66,31.629999,2.74,50.560001
11/4/2016,49.984001,25.51,35.880001,31.67,2.76,51
12/4/2016,49.563999,25.57,35.84,31.860001,2.81,50.82
13/4/2016,50.905998,26.17,36.740002,32.130001,2.8,51.919998
14/4/2016,50.372002,25.299999,36.84,31.799999,2.72,51.82
15/4/2016,50.902,25.459999,37.130001,31.459999,2.7,51.060001
18/4/2016,50.776001,25.5,36.970001,31.65,2.76,51.549999
19/4/2016,49.473999,25.16,36.310001,31.6,2.62,51.830002
20/4/2016,49.993999,25.120001,36.450001,32,2.7,52.09
21/4/2016,49.658001,25.16,36.41,31.969999,2.62,51.669998
22/4/2016,50.75,25.07,36.27,31.639999,3.99,52.639999
25/4/2016,50.363998,25.01,36.450001,31.389999,3.45,52.43
26/4/2016,50.748001,25.01,36.48,31.4,3.66,52.91
27/4/2016,50.293999,25.25,37.310001,31.75,3.73,52.900002
28/4/2016,49.542,24.16,36.200001,31.110001,3.61,52.130001
29/4/2016,48.152,23.59,35.529999,30.280001,3.55,50.52
2/5/2016,48.360001,23.690001,36,30.610001,3.74,51.110001
3/5/2016,46.464001,23.32,35.57,30.360001,3.6,50.73
4/5/2016,44.512001,23.42,34.759998,29.85,3.6,50.490002
5/5/2016,42.306,23.5,34.970001,29.9,3.66,51.130001
6/5/2016,42.986,23.41,35.330002,30.040001,3.68,50.919998
9/5/2016,41.784,23.370001,35.279999,29.799999,3.65,51.200001
10/5/2016,41.737999,23.389999,35.959999,30.139999,3.64,52.150002
11/5/2016,41.792,23.219999,36.060001,30.059999,3.65,52.150002
12/5/2016,41.456001,22.99,35.57,29.76,3.59,51.509998
13/5/2016,41.521999,22.82,40.98,29.91,3.67,51.32
16/5/2016,41.658001,23.110001,42.189999,30.389999,3.79,51.91
17/5/2016,40.931999,22.950001,42.279999,29.98,3.79,51.990002
18/5/2016,42.234001,23.52,43.360001,29.99,3.84,52.790001
19/5/2016,43.042,23.25,43.549999,29.629999,3.77,52.759998
20/5/2016,44.056,23.91,44.330002,30.15,3.87,54.52
23/5/2016,43.243999,24.27,44.400002,30.23,4.04,54.18
24/5/2016,43.582001,24.469999,45.360001,31.059999,4.2,55.59
