Date,bitcoin,ethereum,cardano,doge,bitcoin.cash,stellar,chainlink,biance,little,monero,bat,tether,tesla,tsmc,nvidia,intel,amd,qualcom
11/1/2017,6767.310059,291.694,0.022986,0.001138,531.828003,0.027353,0.157611,1.26154,53.180801,85.717003,0.138513,1.00155,64.216003,42.099998,207.199997,46.709999,10.8,53.459999
11/2/2017,7078.5,287.428986,0.021306,0.001151,587.221985,0.027607,0.167427,1.29963,54.737301,83.763603,0.166955,1.001,59.852001,42.150002,205.940002,47.099998,10.85,54.84
11/3/2017,7207.759766,305.710999,0.022628,0.001121,625.323975,0.027779,0.171798,1.45922,56.1814,87.987,0.146845,1.00632,61.217999,42.189999,208.690002,46.34,11.12,61.810001
11/6/2017,7022.759766,298.891998,0.021881,0.001154,602.64801,0.02888,0.167456,1.56979,55.173698,102.916,0.137831,1.00338,60.556,42.43,209.630005,46.700001,11.93,62.52
11/7/2017,7144.379883,294.658997,0.022195,0.001177,616.296021,0.030699,0.177539,1.80644,61.2952,99.764397,0.141934,1.00566,61.209999,42.509998,212.029999,46.779999,12.05,64.099998
11/8/2017,7459.689941,309.070007,0.025186,0.001222,622.455017,0.033763,0.213909,2.03102,62.573101,113.315002,0.149248,1.01196,60.877998,42.43,209.160004,46.700001,11.71,65.489998
11/9/2017,7143.580078,320.884003,0.032053,0.001415,654.302979,0.039946,0.223969,1.99077,64.269699,120.779999,0.160317,1.00818,60.598,41.639999,205.320007,46.299999,11.12,64.599998
11/10/2017,6618.140137,299.252991,0.027119,0.001163,1007.419983,0.033073,0.187602,1.79684,59.260101,105.585999,0.139639,1.00601,60.598,41.720001,216.139999,45.580002,11.26,64.57
11/13/2017,6559.490234,316.716003,0.025808,0.001211,1353.98999,0.030656,0.183071,1.68662,61.3965,123.402,0.14345,1.00935,63.080002,42.009998,212.630005,45.75,11.09,66.489998
11/14/2017,6635.75,337.631012,0.02623,0.001184,1273.530029,0.036374,0.188114,1.59258,62.6796,122.352997,0.147691,1.00683,61.740002,41.860001,214.179993,45.860001,11.12,66
11/15/2017,7315.540039,333.356995,0.026445,0.001339,1212.400024,0.037053,0.186138,1.53045,63.823601,121.374001,0.143508,1.00318,62.259998,41.540001,209.979996,45.459999,11.07,65.610001
11/16/2017,7871.689941,330.924011,0.02758,0.00139,900.776001,0.037234,0.169761,1.57792,71.060204,120.305,0.167167,1.00212,62.5,42.099998,211.610001,45.650002,11.25,66.110001
