Date,bitcoin,ethereum,cardano,doge,bitcoin-cash,stellar,chainlink,biance,little,monero,bat,tether
20/6/2015,245.212006,0,0,0.00021,0,0.003658,0,0,3.03591,0.53798,0,1
21/6/2015,243.944,0,0,0.000209,0,0.003526,0,0,3.02236,0.523274,0,1
22/6/2015,246.990005,0,0,0.000219,0,0.003682,0,0,3.02846,0.540599,0,1
23/6/2015,244.296005,0,0,0.000187,0,0.003508,0,0,2.97453,0.526921,0,1
24/6/2015,240.514999,0,0,0.000178,0,0.003436,0,0,2.77863,0.506506,0,1
25/6/2015,242.798996,0,0,0.000186,0,0.003477,0,0,2.85033,0.503678,0,1
26/6/2015,243.593994,0,0,0.000201,0,0.003407,0,0,2.86024,0.484247,0,1
27/6/2015,250.990005,0,0,0.00021,0,0.003554,0,0,3.10317,0.491951,0,1
28/6/2015,249.011002,0,0,0.000204,0,0.003435,0,0,3.30582,0.470636,0,1
29/6/2015,257.063995,0,0,0.000214,0,0.003503,0,0,3.7365,0.493447,0,1
30/6/2015,263.071991,0,0,0.000199,0,0.00347,0,0,4.08676,0.500266,0,1
1/7/2015,258.621002,0,0,0.000193,0,0.003458,0,0,3.92427,0.498848,0,1
2/7/2015,255.412003,0,0,0.000191,0,0.003401,0,0,4.06537,0.492605,0,1
3/7/2015,256.335999,0,0,0.000191,0,0.003265,0,0,4.11531,0.491196,0,1
4/7/2015,260.885986,0,0,0.000191,0,0.003195,0,0,4.11353,0.507361,0,1
5/7/2015,271.912994,0,0,0.000194,0,0.003122,0,0,4.95272,0.521969,0,1
6/7/2015,269.029999,0,0,0.000192,0,0.003228,0,0,5.41723,0.505507,0,1
7/7/2015,266.207001,0,0,0.000189,0,0.003141,0,0,5.23463,0.512376,0,1
8/7/2015,270.785004,0,0,0.000189,0,0.003214,0,0,6.36112,0.51399,0,1
9/7/2015,269.227997,0,0,0.000195,0,0.003059,0,0,7.53694,0.497226,0,1
10/7/2015,284.894012,0,0,0.000203,0,0.003115,0,0,4.50522,0.520876,0,1
11/7/2015,293.11499,0,0,0.000201,0,0.003081,0,0,4.37382,0.539175,0,1
12/7/2015,310.867004,0,0,0.000211,0,0.003184,0,0,5.28725,0.628094,0,1
13/7/2015,292.053986,0,0,0.0002,0,0.003219,0,0,4.6799,0.572132,0,1
14/7/2015,287.463989,0,0,0.000194,0,0.003077,0,0,4.64989,0.570033,0,1
