Date,TWH
2014-07-01,10.7221
2014-07-02,8.33358
2014-07-03,7.56635
2014-07-04,7.47565
2014-07-05,7.29972
2014-07-06,7.11011
2014-07-07,7.02427
2014-07-08,6.42244
2014-07-09,6.60222
2014-07-10,6.66421
2014-07-11,6.60222
2014-07-12,6.63512
2014-07-13,6.77725
2014-07-14,6.71003
2014-07-15,6.79618
2014-07-16,6.68728
2014-07-17,6.86269
2014-07-18,6.99471
2014-07-19,7.15058
2014-07-20,7.11863
2014-07-21,7.24643
2014-07-22,7.1378
2014-07-23,7.15058
2014-07-24,6.96526
2014-07-25,6.91652
2014-07-26,6.7109
2014-07-27,6.77708
2014-07-28,6.82255
2014-07-29,6.94417
2014-07-30,7.19908
2014-07-31,7.34885
2014-08-01,7.38276
2014-08-02,7.58304
2014-08-03,7.58995
2014-08-04,7.43801
2014-08-05,7.34133
2014-08-06,7.28608
2014-08-07,7.32751
2014-08-08,7.38274
2014-08-09,7.58059
2014-08-10,7.80423
2014-08-11,8.2438
2014-08-12,8.57684
2014-08-13,8.49871
2014-08-14,8.70273
2014-08-15,8.76315
2014-08-16,8.58862
2014-08-17,8.53771
2014-08-18,8.65407
2014-08-19,8.79139
2014-08-20,9.22227
2014-08-21,9.36345
2014-08-22,9.54341
2014-08-23,9.81822
2014-08-24,9.86514
2014-08-25,9.62932
2014-08-26,8.4429
2014-08-27,7.16883
2014-08-28,5.93491
2014-08-29,4.76756
2014-08-30,3.57126
2014-08-31,2.5246
2014-09-01,1.51607
2014-09-02,1.51119
2014-09-03,1.54295
2014-09-04,1.55388
2014-09-05,1.54988
2014-09-06,1.57976
2014-09-07,1.56613
2014-09-08,1.57763
2014-09-09,1.57619
2014-09-10,1.55894
2014-09-11,1.57619
2014-09-12,1.58914
2014-09-13,1.59617
2014-09-14,1.62037
2014-09-15,1.6604
2014-09-16,1.71788
2014-09-17,1.783
2014-09-18,1.81848
2014-09-19,1.86446
2014-09-20,1.87527
2014-09-21,1.88465
2014-09-22,1.90029
2014-09-23,1.86745
2014-09-24,1.82053
2014-09-25,1.81617
2014-09-26,1.79225
2014-09-27,1.7605
2014-09-28,1.74026
2014-09-29,1.72648
2014-09-30,1.76993
2014-10-01,1.80764
2014-10-02,1.78283
2014-10-03,1.80464
2014-10-04,1.84099
2014-10-05,1.91187
2014-10-06,1.95548
2014-10-07,1.92095
2014-10-08,1.90096
2014-10-09,1.91998
2014-10-10,1.9391
2014-10-11,1.9235
2014-10-12,1.88799
2014-10-13,1.87985
2014-10-14,1.87858
