date,bitcoin,doge,little,tsmc,nvidia,intel,qualcom
6/22/2015,246.990005,0.000219,3.02846,23.84,21.780001,32.259998,67.360001
6/23/2015,244.296005,0.000187,2.97453,23.93,21.219999,32.09,66.980003
6/24/2015,240.514999,0.000178,2.77863,23.9,21.01,31.91,65.349998
6/25/2015,242.798996,0.000186,2.85033,24.08,21.17,31.99,65.260002
6/26/2015,243.593994,0.000201,2.86024,23.629999,20.74,31.02,64.669998
6/29/2015,257.063995,0.000214,3.7365,22.379999,20.120001,30.389999,62.619999
6/30/2015,263.071991,0.000199,4.08676,22.709999,20.110001,30.42,62.630001
7/1/2015,258.621002,0.000193,3.92427,22.93,20.4,30.18,62.900002
7/2/2015,255.412003,0.000191,4.06537,23.15,20.42,30.559999,63.110001
7/6/2015,269.029999,0.000192,5.41723,22.940001,20.17,30.040001,63.110001
7/7/2015,266.207001,0.000189,5.23463,22.959999,19.790001,29.9,62.799999
7/8/2015,270.785004,0.000189,6.36112,22.23,19.65,29.5,61.91
7/9/2015,269.227997,0.000195,7.53694,22.219999,19.41,28.93,61.860001
7/10/2015,284.894012,0.000203,4.50522,22.57,19.75,29.17,62.73
7/13/2015,292.053986,0.0002,4.6799,22.860001,19.879999,29.73,63.43
7/14/2015,287.463989,0.000194,4.64989,22.799999,19.889999,29.65,63.939999
7/15/2015,285.82901,0.000186,4.21409,22.559999,19.75,29.690001,63.880001
7/16/2015,278.088989,0.000171,3.68978,22.73,20.190001,29.9,64.550003
7/17/2015,279.471985,0.00018,3.78681,23.030001,20.07,29.469999,64.339996
7/20/2015,278.980988,0.000174,3.93859,22.9,19.700001,29.1,63.790001
7/21/2015,275.833008,0.00017,3.76621,22.879999,19.790001,28.719999,65.139999
7/22/2015,277.221985,0.000184,3.82366,22.219999,19.41,28.610001,64.190002
7/23/2015,276.049011,0.000178,3.78444,22.309999,19.65,28.6,61.779999
7/24/2015,288.278015,0.000188,4.60183,21.639999,19.42,28.059999,61.639999
7/27/2015,293.623993,0.000189,4.67137,21.629999,19.309999,28.35,61.98
7/28/2015,294.427002,0.000188,5.0584,21.879999,19.73,28.959999,63.099998
7/29/2015,289.589996,0.000184,4.79768,22.110001,19.969999,29.01,63.169998
7/30/2015,287.721985,0.000183,4.57803,22.700001,20.02,28.91,64.410004
7/31/2015,284.649994,0.000184,4.64104,22.110001,19.950001,28.950001,64.389999
8/3/2015,281.22699,0.000173,4.16219,21.719999,20.290001,29.049999,64.43
8/4/2015,285.217987,0.000176,4.37793,21.450001,20.370001,29.129999,63.450001
8/5/2015,281.881989,0.000173,4.34922,21.610001,20.58,29.120001,63.880001
8/6/2015,278.576996,0.000168,4.06467,21.280001,20.450001,29.01,62.84
8/7/2015,279.584991,0.000168,4.20828,21.030001,22.98,28.879999,63.02
8/10/2015,264.470001,0.00016,3.94888,21.610001,23.780001,29.639999,63.150002
8/11/2015,270.385986,0.000164,4.15955,20.83,23.66,28.969999,62.549999
8/12/2015,266.376007,0.00016,3.98545,20.75,23.719999,29.459999,62.580002
8/13/2015,264.079987,0.000156,3.88034,20.540001,23.52,28.870001,62.029999
8/14/2015,265.679993,0.000158,4.02623,20.379999,23.540001,29.02,61.91
8/17/2015,257.976013,0.00015,3.98396,20.280001,23.389999,29.08,62.07
