date,ethereum,stellar,chainlink,monero,tsmc,nvidia,amd
11/1/2017,291.694,0.027353,0.157611,85.717003,42.099998,207.199997,10.8
11/2/2017,287.428986,0.027607,0.167427,83.763603,42.150002,205.940002,10.85
11/3/2017,305.710999,0.027779,0.171798,87.987,42.189999,208.690002,11.12
11/6/2017,298.891998,0.02888,0.167456,102.916,42.43,209.630005,11.93
11/7/2017,294.658997,0.030699,0.177539,99.764397,42.509998,212.029999,12.05
11/8/2017,309.070007,0.033763,0.213909,113.315002,42.43,209.160004,11.71
11/9/2017,320.884003,0.039946,0.223969,120.779999,41.639999,205.320007,11.12
11/10/2017,299.252991,0.033073,0.187602,105.585999,41.720001,216.139999,11.26
11/13/2017,316.716003,0.030656,0.183071,123.402,42.009998,212.630005,11.09
11/14/2017,337.631012,0.036374,0.188114,122.352997,41.860001,214.179993,11.12
11/15/2017,333.356995,0.037053,0.186138,121.374001,41.540001,209.979996,11.07
11/16/2017,330.924011,0.037234,0.169761,120.305,42.099998,211.610001,11.25
11/17/2017,332.394012,0.035572,0.159649,126.699997,42.07,211.360001,11.38
11/20/2017,366.730011,0.038121,0.162183,135.764999,42.209999,214.080002,11.34
11/21/2017,360.401001,0.037668,0.154972,141.738007,42.580002,216.050003,11.4
11/22/2017,380.652008,0.042299,0.168515,165.949997,42.41,214.929993,11.37
11/24/2017,474.911011,0.040193,0.192921,160.026993,42.990002,216.960007,11.38
11/27/2017,480.355011,0.059843,0.184168,173.391998,41.09,214.139999,11.55
11/28/2017,472.902008,0.081415,0.176424,203.210007,40.93,210.710007,11.17
11/29/2017,427.52301,0.064424,0.145255,168.149994,39.41,196.419998,10.83
11/30/2017,447.114014,0.072871,0.170461,180.138,39.599998,200.710007,10.89
12/1/2017,466.540009,0.089883,0.177823,190.938004,39.700001,197.679993,10.73
12/4/2017,470.20401,0.09761,0.229581,210.242004,39.389999,186.660004,10.03
12/5/2017,463.281006,0.123523,0.313877,269.484009,39.200001,187.740005,9.91
12/6/2017,428.588013,0.151622,0.29157,278.684998,38.68,189.259995,10
12/7/2017,434.40799,0.133046,0.260064,280.855011,39.009998,191.990005,10.04
12/8/2017,456.031006,0.13726,0.245226,276.743988,39,191.490005,9.94
12/11/2017,515.135986,0.144956,0.260592,279.669006,39.369999,194.660004,10.16
12/12/2017,651.43103,0.156444,0.231424,308.066986,39.299999,190.839996,9.9
