date,bitcoin,bcash,biance,little,tesla,tsmc,amd,qualcom
6/22/2020,9648.717773,239.789688,16.475288,44.188004,198.863998,56,54.759998,89.129997
6/23/2020,9629.658203,240.808456,16.422567,44.179279,200.356003,56.759998,53.990002,89.349998
6/24/2020,9313.610352,233.155792,16.026758,42.843826,192.169998,56.580002,52.389999,89.139999
6/25/2020,9264.813477,232.41362,15.922709,42.56353,197.195999,57.040001,51.93,88.959999
6/26/2020,9162.917969,230.107697,15.749224,43.320786,191.947998,56.330002,50.099998,88.019997
6/29/2020,9190.854492,225.197021,15.505232,41.851032,201.869995,56.389999,50.279999,89.010002
6/30/2020,9137.993164,221.991684,15.413582,41.467793,215.962006,56.77,52.610001,91.209999
7/1/2020,9228.325195,223.686432,15.82946,41.699245,223.925995,56.82,52.580002,89.779999
7/2/2020,9123.410156,222.303772,15.53849,41.485733,241.731995,58.619999,52.34,91.870003
7/6/2020,9375.474609,241.632095,16.29677,43.963493,274.31601,61.880001,53.400002,92.919998
7/7/2020,9252.277344,237.146729,16.770226,43.318249,277.971985,60.709999,52.93,92.139999
7/8/2020,9428.333008,243.230209,17.227657,45.200745,273.175995,62.59,53.43,93.529999
7/9/2020,9277.967773,238.85585,16.884869,44.537457,278.855988,64.779999,57.259998,93.25
7/10/2020,9278.807617,237.920242,17.261251,44.246117,308.929993,63.849998,55.880001,92.510002
7/13/2020,9243.614258,232.42865,18.409563,43.919796,299.411987,65.07,53.59,91.330002
7/14/2020,9243.213867,230.007889,18.082909,43.802864,303.359985,66.959999,54.720001,92.379997
7/15/2020,9192.836914,227.271515,17.591215,43.278954,309.201996,66.059998,55.34,92.550003
7/16/2020,9132.227539,224.015839,17.143843,42.035439,300.127991,66.589996,54.919998,91.199997
7/17/2020,9151.392578,222.807755,17.084974,41.912815,300.167999,66.400002,55.040001,92.230003
7/20/2020,9164.231445,222.754318,17.484709,41.975811,328.600006,66.889999,57.459999,93.169998
7/21/2020,9374.887695,229.562057,17.715408,43.61615,313.671997,67.809998,57,92.309998
7/22/2020,9525.363281,238.695038,18.091908,44.936115,318.466003,68.529999,61.790001,92.599998
7/23/2020,9581.072266,237.554047,18.673296,44.850079,302.614014,67.370003,59.57,89.669998
7/24/2020,9536.892578,235.516464,19.152901,44.182541,283.399994,73.900002,69.400002,88.889999
7/27/2020,10990.87305,267.427612,19.620329,52.950027,307.920013,83.25,68.970001,92.699997
7/28/2020,10912.82324,288.552094,20.173548,55.575207,295.298004,76.919998,67.610001,91.449997
7/29/2020,11100.46777,288.374146,19.89559,55.172005,299.821991,82.669998,76.089996,93.029999
7/30/2020,11111.21387,292.194183,20.012735,56.643112,297.497986,79.93,78.199997,107.190002
7/31/2020,11323.4668,300.504517,20.668146,57.998138,286.152008,78.889999,77.43,105.610001
8/3/2020,11246.34863,296.535248,22.055012,58.468903,297,78.949997,77.669998,109.589996
