bitcoin,ethereum,doge,monero,tesla,tsmc,nvidia
0.022122689,0.410335263,0.024692613,-0.084156547,-0.015757614,-0.036761962,-0.005059075
-0.014941645,0.131093648,-0.024692613,0.03154101,0.003364599,-0.003848009,0.002532673
-0.008656832,0.406291638,-0.025317808,-0.078567023,0.018058243,-0.010171993,-0.008467409
0.006040512,0.000109423,0.012739026,0.057448954,0.002635631,-0.007820274,0.000850021
-0.029425943,-0.41782598,-0.051959739,0.00035409,0.047545791,-0.004918751,-0.006392606
-0.20063416,-0.101857769,-0.112795494,-0.212573864,0.022222705,-0.012404028,-0.013342096
0.071324556,0.146738944,-0.022642477,0.079499887,-0.021203616,-0.006009082,-0.003907103
0.03751679,0.151594084,0.05927661,0.112666272,-0.052562165,-0.015182427,-0.036770477
-0.011886838,-0.048698354,0.042259809,-0.050589466,-0.04825975,-0.037936583,-0.031632297
-0.099725079,-0.125056122,-0.124703479,-0.26761233,-0.052943621,-0.006376164,-0.036039938
0.051452665,-0.076851242,0.00778214,0.119939459,0.005286023,0,-0.020981399
0.018872365,0.017207848,0.030536724,0.012955048,0.021625092,0.036120178,0.072733306
-0.004713711,-0.010642824,-0.030536724,-0.064885553,0.077631274,0.024880693,0.036907881
0.029057316,0.037352359,0.022989518,0.034111566,0.022342049,0.003004459,0.004409222
-0.005807754,0.131077445,-0.022989518,-0.030331192,0.002331492,-0.006018123,-0.011059613
-0.008446559,-0.00489327,-0.015625318,-0.018841395,-0.042779554,-0.023925754,-0.041786325
0.005085198,-0.042947955,-0.00790518,0.020648262,0.037263647,0.026939418,0.029702893
-0.009205541,-0.023331735,-0.032260862,-0.018963812,-0.008595926,0.006498348,0.002697888
0.013618284,0.007466542,0.024292693,0.01851721,-0.014933529,-0.02013153,-0.023626724
0.056182111,-0.025414187,0.046883586,0.100621106,0.025465506,0.019134471,0.041869721
-0.022579948,-0.029337245,-0.007662873,-0.022261727,0.00297743,-0.008514953,-0.020040751
0.001296588,-0.034350082,-0.007722046,-0.017471524,-0.001729066,-0.009095464,0.015621831
0.006811746,-0.170550352,0.015384919,-0.003872772,0.007058118,0.010101045,0.003095293
-0.040209253,-0.115652248,-0.046883586,-0.026670593,0.011719738,0.007010594,0.001764491
-0.001475204,0.075625903,0.00796817,0.040811295,0.001499744,0.017314209,0.010957812
-0.005280862,-0.040225019,-0.016000341,0.015004929,0.033658328,0.013638838,0.006950462
0.003133554,-0.036990732,0.008032172,-0.030242483,-0.000686604,-0.00048391,0.009049793
0.013678306,-0.02378237,0.015873349,0.01137045,-0.005548236,-0.00242302,-0.000858283
-0.02560675,0.07377499,0.023347364,-0.040760384,0.013642965,-0.003889164,0.010252118
0.015438217,-0.018948933,-0.031252544,-0.018110696,-0.012415896,-0.028658086,-0.027576155
-0.001453636,-0.009347206,-0.016000341,-0.015426897,0.000459808,0.003002955,0.004794126
0.018270268,-0.093559989,0,0.008726231,0.007859917,-0.001,0.018949791
0.002618802,-0.099948074,-0.016260521,-0.037307371,-0.023884392,0.002996955,0.007226386
0.01685943,-0.233541435,0.016260521,-0.005590162,-0.033564693,-0.021170147,-0.013217076
-0.010318933,0.125983066,-0.02449102,-0.029796003,-0.007190768,0.013158085,0.01744354
-0.002652575,0.11084138,0.01639381,-0.086052927,0.007069982,0.042329204,0.038880043
0.0062879,-0.06781293,-0.008163311,0.011966664,-0.03490151,0.005287251,-0.019664706
-0.001078241,-0.017009606,0.008163311,0.012769741,0.03155453,-0.004805439,0.025731418
0.012937808,-0.076430009,-0.050010421,0.015142267,-0.005752264,0.030362864,0.024692653
0.023354149,0.034400651,0.033616611,-0.011535675,-0.019237278,-0.007975646,0.012898361
-0.012653778,-0.065509004,0,-0.045229718,-0.040138928,0.032440287,0.010430846
-0.002740698,0.020028222,-0.016667052,-0.013607394,-0.02284908,0.014486446,0.005748243
0.006692258,0.045454653,0,0.024089265,-0.026956818,-0.013574824,-0.003828489
0.005629161,-0.038539757,0,-0.005076678,-0.023426908,0.006357832,0.010683047
0.016976403,-0.029791007,0.016667052,-0.018643976,0.016880492,-0.006813517,0.001895735
0.009894465,-0.15008701,-0.008298803,-0.009708978,-0.010868404,0.018067293,0.035718119
0.009207916,0.071764468,0,0.016965807,0.020220274,-0.017611609,0.002555176
0.033062419,-0.046227502,0.008298803,0.051534924,0.025429613,0.009521677,0.015554699
0.002158532,-0.092666123,-0.016667052,-0.020373273,0.004790038,0.003153866,-0.001796372
0.022616842,-0.117438269,-0.008438869,-0.008883323,-0.06835113,0.003592236,-0.001439331
-0.011912784,0.028341491,-0.00851069,-0.012714164,-0.013896919,-0.004042224,-0.013048391
0.028693727,0.238302291,0.00851069,0.021657008,0.007728636,0.012966916,0.035481235
0.008984281,-0.050662881,-0.025752496,-0.023369078,-0.012499889,-0.001778613,0.006667861
0.031344855,0.303913266,0.008658063,-0.015250679,0.029081748,-0.01389218,-0.004557449
0.029317182,0.173233465,0.017094433,0.054215354,-0.023073743,0.001803472,-0.000702917
0.03620017,0.142151726,0.065597282,0.091524374,0.012331521,-0.005420113,0.00805464
0.029872562,0.185379282,0.112477983,-0.003852976,-0.006264864,-0.011845241,-0.035141149
0.044128254,-0.14746311,0.068519946,0.020672645,-0.022458847,0.006395591,0.024622153
0.096341968,-0.050656592,-0.02684725,-0.030149238,0.032613581,0.006355037,0.011564874
0.110569393,0.023535032,0.05942342,-0.000404249,-0.025774892,0.029866272,-0.00699307
0.019991331,-0.119688171,-0.045909701,0.133369591,0.105921961,0.033681898,-0.016628686
-0.06320802,-0.003803453,-0.020339684,-0.156626054,0.00060423,-0.024501506,-0.011482078
-0.031242362,0.033373594,-0.034846731,0.015291818,0.002542393,-0.006986928,0.129780235
0.015335615,0.076124227,-0.043485112,0.073678198,-0.030721854,0.006116183,-0.004447244
-0.121301617,-0.067184058,-0.093090423,-0.025323448,-0.039975514,-0.019793873,-0.019287033
-0.079482674,-0.1655035,0.016129382,-0.023386448,0.011846481,0.003104904,-0.009784781
0.083432502,0.123272357,0.039220713,-0.015721462,-0.028426546,-0.015172089,-0.00361189
-0.004145825,0.009317733,0,0.020860367,-0.027374213,-0.015862604,-0.019934248
-0.01798385,0.027132284,0.007662873,-0.037513979,0.033787318,0.020796455,0.019934248
0.013045224,0.081635773,0.015151805,-0.016082145,-0.001447573,0.007577482,0
-0.001505182,-0.014651746,0.01492565,-0.031810735,0.032503424,0,0.020511902
-0.025551597,-0.038783608,-0.037740328,-0.020702911,0.003296681,0.006638661,0.002896221
-0.012734417,-0.032561006,0.007662873,-0.044549588,-0.00810312,0.007032996,0.008638608
0.003174821,0.02355911,-0.007662873,0.004605168,-0.010325384,-0.01145387,-0.015086115
-0.009329993,-0.050659395,-0.015504187,-0.002470366,0.002293648,-0.003106282,0.00805287
0.025176738,-0.041570217,0.015504187,-0.00633558,0.050871647,0.002663073,-0.001284141
0.087008834,0.005098516,0.022814678,-0.003659146,0.008542014,-0.004887724,0.008317387
0.052446046,0.005936597,-0.038318864,0.022923794,-0.005845839,0.013713951,0.010458026
-0.040104932,0.001923431,-0.007843177,-0.049791614,0.029652446,0.022590057,0.031955597
-0.009148212,-0.063216426,0.023347364,-0.019712851,-0.022167262,-0.003873471,-0.007662873
0.005162169,-0.011102429,-0.007722046,-0.004885957,0.003098797,-0.011275098,-0.002156169
0.005901532,0.033774267,0,0.010611517,-0.010062924,0.016436313,0.039896497
0.085334957,-0.034857175,0.030536724,0.127656983,0.003250247,-0.003007478,-0.019145036
0.049392364,0.013290412,0.022305758,0.018962427,-0.019264546,-0.00690849,0.01349953
0.004801204,-0.037111709,0.043172172,0.051547943,-0.009751052,-0.015280804,-0.0256541
-0.005003321,0.059100981,-0.021353124,-0.046729127,0.011293594,-0.003525786,0.008220506
0.084112895,0.10105543,0.076161361,0.060396356,-0.04526887,-0.02096887,-0.014968906
-0.017310572,0.065824179,-0.033901552,0.154309019,0.007162588,0.001801757,0.002459208
0.046493116,0.021053283,0.033901552,0.039592054,0.011417756,0.026644605,0.012206468
-0.022575189,-0.022907932,0,-0.069521576,0.058928395,0.014789308,0.006047705
0.002511523,-0.052272828,0.032789823,-0.034823323,-0.004787335,-0.008673125,-0.015188628
0.016392763,-0.022113638,0,-0.003583606,-0.012633606,-0.001307431,-0.016355835
-0.055379847,-0.021260641,-0.080580487,-0.021642585,0.009070988,0.000871883,0.023371389
-0.00472348,-0.041444525,-0.007017573,-0.017848548,-0.01128634,0.004781491,0.000911378
0.013263423,-0.007112699,0.034605529,0.004457877,-0.00108785,0.00086697,0.003940026
0.028047706,0.006024398,0,0.016073541,0.003780373,0.003028339,0.00332167
-0.074598204,-0.021375693,-0.055958654,-0.092126244,-0.0070508,-0.006065876,-0.000904811
0.025032257,0.032654865,0.108951184,0.020446117,0.035357847,0.003037538,0.016163208
-0.014804795,0.043596527,-0.012987196,-0.03373526,0.003787246,-0.008703319,-0.008647765
0.009209237,0.023392018,-0.013158085,0.064479283,0.008031815,-0.005697977,-0.012961749
0.005844962,0.022180736,-0.047466537,0.095205428,-0.071671942,-0.029440128,-0.018062638
-0.002614904,-0.004519459,-0.049832374,-0.035642039,8.96E-05,-0.006357832,0.015936593
-0.006631301,0.000719608,-0.014706147,0.011512337,-0.01984385,-0.028183939,-0.042229125
0.065272321,-0.009356256,0.029199155,-0.025110032,-0.015597592,-0.011310205,-0.040452044
-0.010574244,0.046445655,0.1281211,-0.008383793,-0.021798589,-0.013839448,-0.021700134
-0.010651594,0.073076246,0.079068523,-0.013123781,-0.015041491,0.005749944,0.00168609
-0.028817168,0.072127867,0.051293294,0.016590208,0.010147974,-0.00863729,0.016706035
-0.007646965,-0.013944273,-0.016807118,-0.011927298,-0.047098473,-0.013097447,-0.030958058
-0.004787437,0.055647912,-0.011363759,0.004493278,0.028883407,0.06337818,-0.020370116
